"dataset","arm","spec","erc50","erc50_lo","erc50_hi","nsec","max_rhat","divergent"
15,"B1","homosced",4.88353025009547,4.23609252754493,5.69745195844471,1.69479044508635,1.00208863565272,0
15,"B2","homosced",4.68004982300816,3.47766548112859,5.99342348875353,3.11666349016061,1.00347742707557,1
15,"B3","homosced",4.77254092622966,4.14360142432343,5.4569750900688,1.8225620998779,1.0018710430012,0
15,"C","homosced",5.21649822169288,4.47656939592084,5.97538772362533,1.57636447207646,1.00510836079091,0
15,"D","homosced",5.04857149652635,4.3448410541136,5.84046816766184,1.64326618645093,1.00438966778245,0
16,"A","disp",4.88353025009547,4.34708185141074,5.4569750900688,1.5432539294037,1.00282547492242,0
16,"B1","disp",4.55056227849805,4.10660498303482,4.99451957396127,1.63931543881985,1.00408700424647,0
16,"B2","disp",4.92052669138407,3.97711743852472,6.30789323970664,1.88398622401038,1.00457019406709,0
16,"B3","disp",4.47656939592084,4.10660498303482,4.86503202945117,1.71275971249787,1.00356953928802,0
16,"C","disp",4.79103914687396,4.23609252754493,5.4384768694245,1.53227174446005,1.00300043497577,0
16,"D","disp",4.14491763297361,3.55314430639926,4.88063582276876,1.99722264101796,1.00470984003353,0
16,"A","homosced",5.08701067718278,4.55056227849805,5.67895373780041,1.94565962698199,1.00342922770402,0
16,"B1","homosced",4.53206405785375,4.08810676239052,5.01301779460557,1.65144657226943,1.00282343197779,0
16,"B2","homosced",4.18059786561203,3.20019217146407,5.4939715313574,2.60634226368127,1.00156950002908,0
16,"B3","homosced",4.45807117527654,4.06960854174622,4.90202847073977,1.72828609175301,1.00145697887187,0
16,"C","homosced",4.79103914687396,4.29158718947783,5.36448398684729,1.51493095406704,1.00359062320139,0
16,"D","homosced",4.12892375928242,3.57693519351491,4.84065113854077,1.99880280172966,1.00861375550183,0
17,"A","disp",4.49506761656515,4.03261210045762,4.97602135331697,1.3613058469016,1.00238122090114,0
17,"B1","disp",4.25459074818923,3.82913167337031,4.75404270558536,1.51165156384375,1.0052421455754,0
17,"B2","disp",4.75404270558536,3.84762989401461,6.03088238555824,1.470892318928,1.00315785611959,0
17,"B3","disp",4.18059786561203,3.77363701143741,4.64305338171955,1.63682006392208,1.00404390605862,0
17,"C","disp",4.45807117527654,3.95861921788042,5.01301779460557,1.37736462650665,1.00258483495716,0
17,"D","disp",4.4248104225696,3.86482491995649,5.12874078840349,1.39722353681607,1.00375686004449,0
17,"A","homosced",4.69854804365246,4.27308896883353,5.16100355975998,1.58825923136329,1.00263273494075,0
17,"B1","homosced",4.25459074818923,3.84762989401461,4.69901049916857,1.55875536461344,1.00360017579371,0
17,"B2","homosced",4.01411387981332,3.07024217143786,5.21649822169288,2.7167417959085,1.00413425438303,0
17,"B3","homosced",4.18059786561203,3.77363701143741,4.60605694043095,1.75113593933626,1.00233841603176,0
17,"C","homosced",4.51356583720945,4.05111032110192,5.03151601524987,1.43767266423739,1.0065135305211,0
17,"D","homosced",4.4088165488784,3.92080347787569,4.92062050699676,1.55680238712964,1.00108940546174,0
